,Order_CultCham,A,callus,root,B,callus ,root,C,callus ,root,D,callus,root,E,callus,root,F,callus,root,G,callus,root,H,callus,root,I,callus ,root
2_IBA_05_1,5,G1_b8_1,1,4,G2_b4_1,1,10,G1_b21_1,1,1,G2_b21_1,1,2,G2_b21_2,1,0,G2_b7_1,1,2,G1_b4_1,1,0,G1_b29_1,1,0,G2_b6_1,1,0
2_IBA_05_2,8,G1_b8_1,1,4,G2_b4_1,1,5,G1_b21_1,1,3,G2_b21_1,1,4,G2_b21_2,1,0,G2_b7_1,1,2,G1_b4_1,1,0,G1_b29_1,1,3,G2_b6_1,1,0
2_IBA_05_3,10,G1_b8_1,1,3,G2_b4_1,0,0,G1_b21_1,1,1,G2_b21_1,1,6,G2_b21_2,0,0,G2_b7_1,1,1,G1_b4_1,1,3,G1_b29_1,1,1,G2_b6_1,1,0
2_IBA_1_1,7,G1_b8_1,1,1,G2_b4_1,1,0,G1_b21_1,1,0,G2_b21_1,1,0,G2_b21_2,1,1,G2_b7_1,1,2,G1_b4_1,1,0,G1_b29_1,1,1,G2_b6_1,1,0
2_IBA_1_2,6,G1_b8_1,1,1,G2_b4_1,1,2,G1_b21_1,0,2,G2_b21_1,1,3,G2_b21_2,1,1,G2_b7_1,1,1,G1_b4_1,1,0,G1_b29_1,1,5,G2_b6_1,1,0
2_IBA_1_3,4,G1_b8_1,1,1,G2_b4_1,1,1,G1_b21_1,1,0,G2_b21_1,1,0,G2_b21_2,1,0,G2_b7_1,1,0,G1_b4_1,1,1,G1_b29_1,1,1,G2_b6_1,1,0
2_NAA_05_1,9,G1_b8_1,1,1,G2_b4_1,1,3,G1_b21_1,1,2,G2_b21_1,1,1,G2_b21_2,1,0,G2_b7_1,1,1,G1_b4_1,1,1,G1_b29_1,1,1,G2_b6_1,1,1
2_NAA_05_2,12,G1_b8_1,1,3,G2_b4_1,1,3,G1_b21_1,0,0,G2_b21_1,1,1,G2_b21_2,1,1,G2_b7_1,1,3,G1_b4_1,1,0,G1_b29_1,1,1,G2_b6_1,1,0
2_NAA_05_3,14,G1_b8_1,1,1,G2_b4_1,1,1,G1_b21_1,1,1,G2_b21_1,1,4,G2_b21_2,1,3,G2_b7_1,1,1,G1_b4_1,1,0,G1_b29_1,1,0,G2_b6_1,1,2
2_NAA_1_1,15,G1_b8_1,1,0,G2_b4_1,1,5,G1_b21_1,1,0,G2_b21_1,1,4,G2_b21_2,1,0,G2_b7_1,1,0,G1_b4_1,1,0,G1_b29_1,1,0,G2_b6_1,1,0
2_NAA_1_2,3,G1_b8_1,1,1,G2_b4_1,1,0,G1_b21_1,1,0,G2_b21_1,1,3,G2_b21_2,1,4,G2_b7_1,1,2,G1_b4_1,1,1,G1_b29_1,1,2,G2_b6_1,1,0
2_NAA_1_3,2,G1_b8_1,1,1,G2_b4_1,1,9,G1_b21_1,1,1,G2_b21_1,1,1,G2_b21_2,1,5,G2_b7_1,1,3,G1_b4_1,1,1,G1_b29_1,1,0,G2_b6_1,1,0
2_Control_1,11,G1_b8_1,0,0,G2_b4_1,0,0,G1_b21_1,0,0,G2_b21_1,0,0,G2_b21_2,1,0,G2_b7_1,0,0,G1_b4_1,0,0,G1_b29_1,0,0,G2_b6_1,0,0
2_Control_2,1,G1_b8_1,0,0,G2_b4_1,0,0,G1_b21_1,0,0,G2_b21_1,0,0,G2_b21_2,0,0,G2_b7_1,0,0,G1_b4_1,0,0,G1_b29_1,0,0,G2_b6_1,0,0
2_Control_3,13,G1_b8_1,0,0,G2_b4_1,0,1,G1_b21_1,0,0,G2_b21_1,0,0,G2_b21_2,0,0,G2_b7_1,0,1,G1_b4_1,0,0,G1_b29_1,0,3,G2_b6_1,0,0
