Treatment,Box,SeedID,Cluster,9_14_2020,Other,3_w_survival,3_w_height,5_w_survival,5_w_height
1_NAA_1_2,1,G2_b20_1,pink,1,,1,3.5,,
1_NAA_1_2,2,G1_b19_1,pink,1,,1,2.3,,
1_NAA_1_2,3,G1_b16_1,blue,1,,1,2.8,,
1_NAA_1_2,4,G2_b27_1,blue,0.5,,0,0,,
1_NAA_1_2,5,G2_b8_1,pink,0.5,,0,0,,
1_NAA_1_2,6,G2_b15_1,black,0.5,,0,0,,
1_NAA_1_2,7,G2_b26_1,black,0.5,,0,0,,
1_NAA_1_2,8,G2_b2_1,black,0.5,,0.5,1.9,,
1_NAA_05_3,9,G2_b20_1,pink,0.5,,0.5,1.4,,
1_NAA_05_3,10,G1_b19_1,pink,1,Can't find,1,1.7,,
1_NAA_05_3,11,G1_b16_1,blue,1,,1,2.4,,
1_NAA_05_3,12,G2_b27_1,blue,0.5,,0.5,2,,
1_NAA_05_3,13,G2_b15_1,black,1,,1,2.3,,
1_IBA_1_2,14,G2_b20_1,pink,1,,1,2.7,,
1_IBA_1_2,15,G1_b19_1,pink,1,,1,2.4,,
1_IBA_1_2,16,G1_b16_1,blue,0.5,,0.5,2,,
1_IBA_1_2,17,G2_b27_1,blue,1,,0.5,2.4,,
1_IBA_1_2,18,G2_b8_1,pink,0,,0,0,,
1_IBA_1_2,19,G1_6_1,NA,0,,0,0,,
1_Control_2,20,G1_b16_1,blue,1,,1,2.7,,
1_Control_2,21,G2_b27_1,blue,1,,0,0,,
1_NAA_1_1,22,G2_b20_1,pink,1,,1,2.7,,
1_NAA_1_1,23,G1_b16_1,blue,1,,1,2.7,,
1_NAA_1_1,24,G2_b27_1,blue,1,,1,4.4,,
1_NAA_1_1,25,G2_b8_1,pink,0.5,,0,0,,
1_NAA_1_1,26,G2_2_1,NA,1,,1,3.5,,
1_NAA_05_2,27,G2_b20_1,pink,1,,0.5,1.5,,
1_NAA_05_2,28,G2_b27_1,blue,1,,1,3.7,,
1_NAA_05_2,29,G2_b8_1,pink,0.5,,0,0,,
1_Control_3,30,G2_b27_1,blue,1,,1,3.7,,
1_Control_1,31,G2_b27_1,blue,0,contaminated,0,0,,
1_IBA_05_1,32,G1_b19_1,pink,0.5,,0,0,,
1_IBA_05_1,33,G2_b8_1,pink,1,,0,0,,
1_IBA_1_3,34,G2_b20_1,pink,0.5,,0.5,1,,
1_IBA_1_3,35,G2_b27_1,blue,0.5,,0.5,1.5,,
1_IBA_1_3,36,G1_6_1,NA,0.5,,0,0,,
1_IBA_1_3,37,G2_2_1,NA,1,,1,3.7,,
1_NAA_1_3,38,G1_b16_1,blue,1,,1,3,,
1_NAA_1_3,39,G2_b27_1,blue,1,,1,3.8,,
1_NAA_1_3,40,G2_b8_1,pink,0.5,,0,0,,
1_NAA_1_3,41,G2_b15_1,black,1,,0.5,1.5,,
1_NAA_1_3,42,G1_6_1,NA,0,,0,0,,
1_IBA_1_1,43,G2_b20_1,pink,1,,0.5,2.4,,
1_IBA_1_1,44,G1_b19_1,pink,1,,1,2.5,,
1_IBA_1_1,45,G1_b16_1,blue,0.5,,0,0,,
1_IBA_1_1,46,G2_b27_1,blue,1,,0.5,2.5,,
1_IBA_1_1,47,G2_b8_1,pink,0.5,,0.5,1.1,,
1_IBA_1_1,48,G1_6_1,NA,0.5,,0,0,,
1_IBA_1_1,49,G2_2_1,NA,0.5,,0,0,,
1_IBA_05_3,50,G1_b16_1,blue,0.5,,0,0,,
1_IBA_05_3,51,G2_b27_1,blue,1,,1,3.9,,
1_IBA_05_3,52,G2_b8_1,pink,0.5,,0,0,,
1_IBA_05_3,53,G2_b15_1,black,1,,0.5,1.5,,
2_IBA_05_3,54,G1_b8_1,blue,1,,1,2.7,,
2_IBA_05_3,55,G1_b21_1,pink,0,,0,0,,
2_IBA_05_3,56,G2_b21_1,blue,1,,0.5,1.5,,
2_IBA_05_3,57,G2_b7_1,blue,1,,1,2.5,,
