Block,Treatment,Replicate,Genotype,Individual,Callus,Root
2,IBA_05,1,G1,b8_1,1,4
2,IBA_05,2,G1,b8_1,1,4
2,IBA_05,3,G1,b8_1,1,3
2,IBA_1,1,G1,b8_1,1,1
2,IBA_1,2,G1,b8_1,1,1
2,IBA_1,3,G1,b8_1,1,1
2,NAA_05,1,G1,b8_1,1,1
2,NAA_05,2,G1,b8_1,1,3
2,NAA_05,3,G1,b8_1,1,1
2,NAA_1,1,G1,b8_1,1,0
2,NAA_1,2,G1,b8_1,1,1
2,NAA_1,3,G1,b8_1,1,1
2,Control,1,G1,b8_1,0,0
2,Control,2,G1,b8_1,0,0
2,Control,3,G1,b8_1,0,0
2,IBA_05,1,G2,b4_1,1,10
2,IBA_05,2,G2,b4_1,1,5
2,IBA_05,3,G2,b4_1,0,0
2,IBA_1,1,G2,b4_1,1,0
2,IBA_1,2,G2,b4_1,1,2
2,IBA_1,3,G2,b4_1,1,1
2,NAA_05,1,G2,b4_1,1,3
2,NAA_05,2,G2,b4_1,1,3
2,NAA_05,3,G2,b4_1,1,1
2,NAA_1,1,G2,b4_1,1,5
2,NAA_1,2,G2,b4_1,1,0
2,NAA_1,3,G2,b4_1,1,9
2,Control,1,G2,b4_1,0,0
2,Control,2,G2,b4_1,0,0
2,Control,3,G2,b4_1,0,1
2,IBA_05,1,G1,b21_1,1,1
2,IBA_05,2,G1,b21_1,1,3
2,IBA_05,3,G1,b21_1,1,1
2,IBA_1,1,G1,b21_1,1,0
2,IBA_1,2,G1,b21_1,0,2
2,IBA_1,3,G1,b21_1,1,0
2,NAA_05,1,G1,b21_1,1,2
2,NAA_05,2,G1,b21_1,0,0
2,NAA_05,3,G1,b21_1,1,1
2,NAA_1,1,G1,b21_1,1,0
2,NAA_1,2,G1,b21_1,1,0
2,NAA_1,3,G1,b21_1,1,1
2,Control,1,G1,b21_1,0,0
2,Control,2,G1,b21_1,0,0
2,Control,3,G1,b21_1,0,0
2,IBA_05,1,G2,b21_1,1,2
2,IBA_05,2,G2,b21_1,1,4
2,IBA_05,3,G2,b21_1,1,6
2,IBA_1,1,G2,b21_1,1,0
2,IBA_1,2,G2,b21_1,1,3
2,IBA_1,3,G2,b21_1,1,0
2,NAA_05,1,G2,b21_1,1,1
2,NAA_05,2,G2,b21_1,1,1
2,NAA_05,3,G2,b21_1,1,4
2,NAA_1,1,G2,b21_1,1,4
2,NAA_1,2,G2,b21_1,1,3
2,NAA_1,3,G2,b21_1,1,1
2,Control,1,G2,b21_1,0,0
2,Control,2,G2,b21_1,0,0
2,Control,3,G2,b21_1,0,0
2,IBA_05,1,G2,b21_2,1,0
2,IBA_05,2,G2,b21_2,1,0
2,IBA_05,3,G2,b21_2,0,0
2,IBA_1,1,G2,b21_2,1,1
2,IBA_1,2,G2,b21_2,1,1
2,IBA_1,3,G2,b21_2,1,0
2,NAA_05,1,G2,b21_2,1,0
2,NAA_05,2,G2,b21_2,1,1
2,NAA_05,3,G2,b21_2,1,3
2,NAA_1,1,G2,b21_2,1,0
2,NAA_1,2,G2,b21_2,1,4
2,NAA_1,3,G2,b21_2,1,5
2,Control,1,G2,b21_2,1,0
2,Control,2,G2,b21_2,0,0
2,Control,3,G2,b21_2,0,0
2,IBA_05,1,G2,b7_1,1,2
