Block,Treatment,Replicate,Genotype,Individual,Callus,Root,IndGeno,RootBin
1,IBA_05,1,G2,b20_1,0,0,G2_b20_1,0
1,IBA_05,2,G2,b20_1,1,3,G2_b20_1,1
1,IBA_05,3,G2,b20_1,1,0,G2_b20_1,0
1,IBA_1,1,G2,b20_1,1,2,G2_b20_1,1
1,IBA_1,2,G2,b20_1,1,4,G2_b20_1,1
1,IBA_1,3,G2,b20_1,1,1,G2_b20_1,1
1,NAA_05,1,G2,b20_1,1,0,G2_b20_1,0
1,NAA_05,2,G2,b20_1,1,2,G2_b20_1,1
1,NAA_05,3,G2,b20_1,1,1,G2_b20_1,1
1,NAA_1,1,G2,b20_1,1,1,G2_b20_1,1
1,NAA_1,2,G2,b20_1,1,6,G2_b20_1,1
1,NAA_1,3,G2,b20_1,1,0,G2_b20_1,0
1,Control,1,G2,b20_1,0,0,G2_b20_1,0
1,Control,2,G2,b20_1,0,0,G2_b20_1,0
1,Control,3,G2,b20_1,0,0,G2_b20_1,0
1,IBA_05,1,G1,b19_1,1,2,G1_b19_1,1
1,IBA_05,2,G1,b19_1,1,5,G1_b19_1,1
1,IBA_05,3,G1,b19_1,1,0,G1_b19_1,0
1,IBA_1,1,G1,b19_1,1,5,G1_b19_1,1
1,IBA_1,2,G1,b19_1,1,4,G1_b19_1,1
1,IBA_1,3,G1,b19_1,1,0,G1_b19_1,0
1,NAA_05,1,G1,b19_1,1,3,G1_b19_1,1
1,NAA_05,2,G1,b19_1,1,0,G1_b19_1,0
1,NAA_05,3,G1,b19_1,1,2,G1_b19_1,1
1,NAA_1,1,G1,b19_1,0,0,G1_b19_1,0
1,NAA_1,2,G1,b19_1,1,2,G1_b19_1,1
1,NAA_1,3,G1,b19_1,1,0,G1_b19_1,0
1,Control,1,G1,b19_1,0,0,G1_b19_1,0
1,Control,2,G1,b19_1,0,0,G1_b19_1,0
1,Control,3,G1,b19_1,0,0,G1_b19_1,0
1,IBA_05,1,G1,b16_1,1,0,G1_b16_1,0
1,IBA_05,2,G1,b16_1,1,1,G1_b16_1,1
1,IBA_05,3,G1,b16_1,1,1,G1_b16_1,1
1,IBA_1,1,G1,b16_1,1,3,G1_b16_1,1
1,IBA_1,2,G1,b16_1,1,2,G1_b16_1,1
1,IBA_1,3,G1,b16_1,1,0,G1_b16_1,0
1,NAA_05,1,G1,b16_1,1,1,G1_b16_1,1
1,NAA_05,2,G1,b16_1,0,0,G1_b16_1,0
1,NAA_05,3,G1,b16_1,1,4,G1_b16_1,1
1,NAA_1,1,G1,b16_1,0,3,G1_b16_1,1
1,NAA_1,2,G1,b16_1,1,5,G1_b16_1,1
1,NAA_1,3,G1,b16_1,1,6,G1_b16_1,1
1,Control,1,G1,b16_1,0,0,G1_b16_1,0
1,Control,2,G1,b16_1,0,1,G1_b16_1,1
1,Control,3,G1,b16_1,0,0,G1_b16_1,0
1,IBA_05,1,G2,b27_1,1,0,G2_b27_1,0
1,IBA_05,2,G2,b27_1,1,1,G2_b27_1,1
1,IBA_05,3,G2,b27_1,1,6,G2_b27_1,1
1,IBA_1,1,G2,b27_1,1,12,G2_b27_1,1
1,IBA_1,2,G2,b27_1,1,10,G2_b27_1,1
1,IBA_1,3,G2,b27_1,1,5,G2_b27_1,1
1,NAA_05,1,G2,b27_1,1,4,G2_b27_1,1
1,NAA_05,2,G2,b27_1,1,5,G2_b27_1,1
1,NAA_05,3,G2,b27_1,1,5,G2_b27_1,1
1,NAA_1,1,G2,b27_1,1,8,G2_b27_1,1
1,NAA_1,2,G2,b27_1,1,0,G2_b27_1,0
1,NAA_1,3,G2,b27_1,1,7,G2_b27_1,1
1,Control,1,G2,b27_1,0,3,G2_b27_1,1
1,Control,2,G2,b27_1,0,1,G2_b27_1,1
1,Control,3,G2,b27_1,0,5,G2_b27_1,1
