Individual,Group
G1_22_1,black
G1_b1_1,black
G1_b1_2,pink
G1_b10_1,blue
G1_b12_1,black
G1_b13_1,blue
G1_b15_1,black
G1_b16_1,blue
G1_b18_1,black
G1_b19_1,pink
G1_b2_1,blue
G1_b20_1,pink
G1_b21_1,pink
G1_b25_1,pink
G1_b26_1,black
G1_b29_1,blue
G1_b3_1,blue
G1_b4_1,pink
G1_b5_1,pink
G1_b6_1,pink
G1_b7_1,black
G1_b8_1,blue
G1_b9_1,pink
G2_18_1,pink
G2_29_1,pink
G2_b11_1,blue
G2_b15_1,black
G2_b16_1,pink
G2_b17_1,pink
G2_b19_1,black
G2_b2_1,black
G2_b20_1,pink
G2_b21_1,blue
G2_b21_2,pink
G2_b24_1,blue
G2_b25_1,black
G2_b26_1,black
G2_b27_1,blue
G2_b27_2,pink
G2_b28_1,black
G2_b4_1,blue
G2_b5_1,black
G2_b6_1,black
G2_b7_1,blue
G2_b8_1,pink
