"Block","X","Treatment","Genotype","IndGeno","Mean_Callus","Mean_Root","Mean_RootBin"
"4",NA,"Control","G1","G1_22_1",0,0,"NaN"
"4",NA,"IBA_05","G1","G1_22_1",1,0,"NaN"
"4",NA,"IBA_1","G1","G1_22_1",1,0,"NaN"
"4",NA,"NAA_05","G1","G1_22_1",0.67,0,"NaN"
"4",NA,"NAA_1","G1","G1_22_1",1,0,"NaN"
"5",NA,"Control","G1","G1_b1_1",0,0,"NaN"
"5",NA,"IBA_05","G1","G1_b1_1",0.67,1.33,"NaN"
"5",NA,"IBA_1","G1","G1_b1_1",0.67,1.67,"NaN"
"5",NA,"NAA_05","G1","G1_b1_1",0.67,0,"NaN"
"5",NA,"NAA_1","G1","G1_b1_1",1,0,"NaN"
"5",NA,"Control","G1","G1_b1_2",0.33,0,"NaN"
"5",NA,"IBA_05","G1","G1_b1_2",1,1.67,"NaN"
"5",NA,"IBA_1","G1","G1_b1_2",0.67,1.67,"NaN"
"5",NA,"NAA_05","G1","G1_b1_2",0.33,0.67,"NaN"
"5",NA,"NAA_1","G1","G1_b1_2",1,0,"NaN"
"3",NA,"Control","G1","G1_b10_1",0.33,0,"NaN"
"3",NA,"IBA_05","G1","G1_b10_1",0.33,3.33,"NaN"
"3",NA,"IBA_1","G1","G1_b10_1",1,4.33,"NaN"
"3",NA,"NAA_05","G1","G1_b10_1",1,1.33,"NaN"
"3",NA,"NAA_1","G1","G1_b10_1",0.67,0.33,"NaN"
"3",NA,"Control","G1","G1_b12_1",0,0,"NaN"
"3",NA,"IBA_05","G1","G1_b12_1",0.33,0,"NaN"
"3",NA,"IBA_1","G1","G1_b12_1",0.33,0,"NaN"
"3",NA,"NAA_05","G1","G1_b12_1",0,0,"NaN"
"3",NA,"NAA_1","G1","G1_b12_1",0.33,0,"NaN"
"3",NA,"Control","G1","G1_b13_1",0.33,1,"NaN"
"3",NA,"IBA_05","G1","G1_b13_1",0.67,4.67,"NaN"
"3",NA,"IBA_1","G1","G1_b13_1",1,5,"NaN"
"3",NA,"NAA_05","G1","G1_b13_1",1,2.33,"NaN"
"3",NA,"NAA_1","G1","G1_b13_1",1,2.33,"NaN"
"3",NA,"Control","G1","G1_b15_1",0,0,"NaN"
